dataset,fold_id,score,coverage,retained_mean_error
Frangieh,frangieh_context_holdout_1_Co-culture,SafeConf,0.5,0.051988213247157244
Frangieh,frangieh_context_holdout_1_Co-culture,SafeConf,0.55,0.051893117818962324
Frangieh,frangieh_context_holdout_1_Co-culture,SafeConf,0.6,0.051922967960311664
Frangieh,frangieh_context_holdout_1_Co-culture,SafeConf,0.65,0.05226126236963613
Frangieh,frangieh_context_holdout_1_Co-culture,SafeConf,0.7,0.05197395639550392
Frangieh,frangieh_context_holdout_1_Co-culture,SafeConf,0.75,0.051941054450126534
Frangieh,frangieh_context_holdout_1_Co-culture,SafeConf,0.8,0.05182879211674428
Frangieh,frangieh_context_holdout_1_Co-culture,SafeConf,0.85,0.05221992276612627
Frangieh,frangieh_context_holdout_1_Co-culture,SafeConf,0.9,0.05222009757196365
Frangieh,frangieh_context_holdout_1_Co-culture,SafeConf,0.95,0.052672360931114465
Frangieh,frangieh_context_holdout_1_Co-culture,SafeConf,1.0,0.05349001008117537
Frangieh,frangieh_context_holdout_1_Co-culture,predicted_magnitude,0.5,0.052615355673443207
Frangieh,frangieh_context_holdout_1_Co-culture,predicted_magnitude,0.55,0.05226625902500532
Frangieh,frangieh_context_holdout_1_Co-culture,predicted_magnitude,0.6,0.05246137596685087
Frangieh,frangieh_context_holdout_1_Co-culture,predicted_magnitude,0.65,0.052552827327827026
Frangieh,frangieh_context_holdout_1_Co-culture,predicted_magnitude,0.7,0.05241813394534444
Frangieh,frangieh_context_holdout_1_Co-culture,predicted_magnitude,0.75,0.052379339605453525
Frangieh,frangieh_context_holdout_1_Co-culture,predicted_magnitude,0.8,0.052263669183623386
Frangieh,frangieh_context_holdout_1_Co-culture,predicted_magnitude,0.85,0.05214828029170129
Frangieh,frangieh_context_holdout_1_Co-culture,predicted_magnitude,0.9,0.052155941056979536
Frangieh,frangieh_context_holdout_1_Co-culture,predicted_magnitude,0.95,0.0526580364012589
Frangieh,frangieh_context_holdout_1_Co-culture,predicted_magnitude,1.0,0.05349001008117536
Frangieh,frangieh_context_holdout_1_Co-culture,model_disagreement,0.5,0.053410794217238856
Frangieh,frangieh_context_holdout_1_Co-culture,model_disagreement,0.55,0.05306468198181856
Frangieh,frangieh_context_holdout_1_Co-culture,model_disagreement,0.6,0.05281106022530383
Frangieh,frangieh_context_holdout_1_Co-culture,model_disagreement,0.65,0.05245751929162638
Frangieh,frangieh_context_holdout_1_Co-culture,model_disagreement,0.7,0.05237609481873935
Frangieh,frangieh_context_holdout_1_Co-culture,model_disagreement,0.75,0.05234596847087958
Frangieh,frangieh_context_holdout_1_Co-culture,model_disagreement,0.8,0.05222363498726425
Frangieh,frangieh_context_holdout_1_Co-culture,model_disagreement,0.85,0.052218587028933124
Frangieh,frangieh_context_holdout_1_Co-culture,model_disagreement,0.9,0.052155941056979536
Frangieh,frangieh_context_holdout_1_Co-culture,model_disagreement,0.95,0.0526580364012589
Frangieh,frangieh_context_holdout_1_Co-culture,model_disagreement,1.0,0.05349001008117536
Frangieh,frangieh_context_holdout_2_Control,SafeConf,0.5,0.052793905857157965
Frangieh,frangieh_context_holdout_2_Control,SafeConf,0.55,0.053002798364661534
Frangieh,frangieh_context_holdout_2_Control,SafeConf,0.6,0.05337587135396425
Frangieh,frangieh_context_holdout_2_Control,SafeConf,0.65,0.053859108301882834
Frangieh,frangieh_context_holdout_2_Control,SafeConf,0.7,0.05418745851015674
Frangieh,frangieh_context_holdout_2_Control,SafeConf,0.75,0.054696626266595924
Frangieh,frangieh_context_holdout_2_Control,SafeConf,0.8,0.054980706970363245
Frangieh,frangieh_context_holdout_2_Control,SafeConf,0.85,0.055219488263747965
Frangieh,frangieh_context_holdout_2_Control,SafeConf,0.9,0.05519199815261607
Frangieh,frangieh_context_holdout_2_Control,SafeConf,0.95,0.05528373494794616
Frangieh,frangieh_context_holdout_2_Control,SafeConf,1.0,0.05558482043433715
Frangieh,frangieh_context_holdout_2_Control,predicted_magnitude,0.5,0.05361532548917473
Frangieh,frangieh_context_holdout_2_Control,predicted_magnitude,0.55,0.05373438765352639
Frangieh,frangieh_context_holdout_2_Control,predicted_magnitude,0.6,0.05359294953933415
Frangieh,frangieh_context_holdout_2_Control,predicted_magnitude,0.65,0.05370611201668022
Frangieh,frangieh_context_holdout_2_Control,predicted_magnitude,0.7,0.05375879640894379
Frangieh,frangieh_context_holdout_2_Control,predicted_magnitude,0.75,0.05399843694343543
Frangieh,frangieh_context_holdout_2_Control,predicted_magnitude,0.8,0.05411052887895072
Frangieh,frangieh_context_holdout_2_Control,predicted_magnitude,0.85,0.054744309233442194
Frangieh,frangieh_context_holdout_2_Control,predicted_magnitude,0.9,0.05528802306652939
Frangieh,frangieh_context_holdout_2_Control,predicted_magnitude,0.95,0.05531169123446589
Frangieh,frangieh_context_holdout_2_Control,predicted_magnitude,1.0,0.05558482043433714
Frangieh,frangieh_context_holdout_2_Control,model_disagreement,0.5,0.05394766736557376
Frangieh,frangieh_context_holdout_2_Control,model_disagreement,0.55,0.053892650513048077
Frangieh,frangieh_context_holdout_2_Control,model_disagreement,0.6,0.054059782391097426
Frangieh,frangieh_context_holdout_2_Control,model_disagreement,0.65,0.05399129566302645
Frangieh,frangieh_context_holdout_2_Control,model_disagreement,0.7,0.053798697419662235
Frangieh,frangieh_context_holdout_2_Control,model_disagreement,0.75,0.05402644950534052
Frangieh,frangieh_context_holdout_2_Control,model_disagreement,0.8,0.0542398645908601
Frangieh,frangieh_context_holdout_2_Control,model_disagreement,0.85,0.05452777963682004
Frangieh,frangieh_context_holdout_2_Control,model_disagreement,0.9,0.05529620013001222
Frangieh,frangieh_context_holdout_2_Control,model_disagreement,0.95,0.05522540126885826
Frangieh,frangieh_context_holdout_2_Control,model_disagreement,1.0,0.05558482043433714
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.5,0.052482135573254894
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.55,0.052381241934684436
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.6,0.05329296803383975
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.65,0.05344181979428652
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.7,0.05393257153284357
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.75,0.05398921067985593
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.8,0.05437074398644594
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.85,0.054237805082791246
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.9,0.054313825113355106
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,0.95,0.054890997007693544
Frangieh,frangieh_context_holdout_3_IFNγ,SafeConf,1.0,0.05470167173268503
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.5,0.05383912273316183
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.55,0.05346934676864515
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.6,0.05349853389242704
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.65,0.05350951673360954
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.7,0.05361498081312735
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.75,0.05355015314181517
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.8,0.053514139086027424
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.85,0.05349611832293411
Frangieh,frangieh_context_holdout_3_IFNγ,predicted_magnitude,0.9,0.05355332374215231
