validation_mode,feature_set,heldout_dataset,target_scope,third_predictor,n_train_rows,n_test_rows,training_datasets,training_predictors,feature_columns,third_predictor_error_used_for_fit,heldout_dataset_error_used_for_fit
lodo_lopo,no_disagreement,CuiHacohen2023,CuiHacohen2023,PertMeanPredictor,26658,1253,Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,no_disagreement,Frangieh,Frangieh,PertMeanPredictor,31618,633,CuiHacohen2023;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,no_disagreement,LaraAstiasoHuntly2023_exvivo,LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,34098,323,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,no_disagreement,LaraAstiasoHuntly2023_invivo,LaraAstiasoHuntly2023_invivo,PertMeanPredictor,33672,375,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,no_disagreement,McFarlandTsherniak2020,McFarlandTsherniak2020,PertMeanPredictor,27378,1163,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,no_disagreement,SantinhaPlatt2023,SantinhaPlatt2023,PertMeanPredictor,34498,273,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,no_disagreement,SrivatsanTrapnell2020_sciplex3,SrivatsanTrapnell2020_sciplex3,PertMeanPredictor,32170,564,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,pre_model_task_only,CuiHacohen2023,CuiHacohen2023,PertMeanPredictor,26658,1253,Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm,False,False
lodo_lopo,pre_model_task_only,Frangieh,Frangieh,PertMeanPredictor,31618,633,CuiHacohen2023;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm,False,False
lodo_lopo,pre_model_task_only,LaraAstiasoHuntly2023_exvivo,LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,34098,323,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm,False,False
lodo_lopo,pre_model_task_only,LaraAstiasoHuntly2023_invivo,LaraAstiasoHuntly2023_invivo,PertMeanPredictor,33672,375,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm,False,False
lodo_lopo,pre_model_task_only,McFarlandTsherniak2020,McFarlandTsherniak2020,PertMeanPredictor,27378,1163,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm,False,False
lodo_lopo,pre_model_task_only,SantinhaPlatt2023,SantinhaPlatt2023,PertMeanPredictor,34498,273,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm,False,False
lodo_lopo,pre_model_task_only,SrivatsanTrapnell2020_sciplex3,SrivatsanTrapnell2020_sciplex3,PertMeanPredictor,32170,564,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm,False,False
lopo,full,,ALL,Control1NNPredictor,36682,4584,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;model_disagreement_rmse_qnorm;model_disagreement_cosine_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lopo,no_disagreement,,ALL,Control1NNPredictor,36682,4584,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lopo,pre_model_task_only,,ALL,Control1NNPredictor,36682,4584,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm,False,False
lodo_lopo,full,CuiHacohen2023,CuiHacohen2023,Control1NNPredictor,26658,1253,Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;model_disagreement_rmse_qnorm;model_disagreement_cosine_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,full,Frangieh,Frangieh,Control1NNPredictor,31618,633,CuiHacohen2023;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;model_disagreement_rmse_qnorm;model_disagreement_cosine_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,full,LaraAstiasoHuntly2023_exvivo,LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,34098,323,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;model_disagreement_rmse_qnorm;model_disagreement_cosine_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,full,LaraAstiasoHuntly2023_invivo,LaraAstiasoHuntly2023_invivo,Control1NNPredictor,33672,375,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;model_disagreement_rmse_qnorm;model_disagreement_cosine_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,full,McFarlandTsherniak2020,McFarlandTsherniak2020,Control1NNPredictor,27378,1163,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;model_disagreement_rmse_qnorm;model_disagreement_cosine_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,full,SantinhaPlatt2023,SantinhaPlatt2023,Control1NNPredictor,34498,273,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;model_disagreement_rmse_qnorm;model_disagreement_cosine_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,full,SrivatsanTrapnell2020_sciplex3,SrivatsanTrapnell2020_sciplex3,Control1NNPredictor,32170,564,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;model_disagreement_rmse_qnorm;model_disagreement_cosine_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,no_disagreement,CuiHacohen2023,CuiHacohen2023,Control1NNPredictor,26658,1253,Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,no_disagreement,Frangieh,Frangieh,Control1NNPredictor,31618,633,CuiHacohen2023;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,no_disagreement,LaraAstiasoHuntly2023_exvivo,LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,34098,323,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_invivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,no_disagreement,LaraAstiasoHuntly2023_invivo,LaraAstiasoHuntly2023_invivo,Control1NNPredictor,33672,375,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;McFarlandTsherniak2020;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
lodo_lopo,no_disagreement,McFarlandTsherniak2020,McFarlandTsherniak2020,Control1NNPredictor,27378,1163,CuiHacohen2023;Frangieh;LaraAstiasoHuntly2023_exvivo;LaraAstiasoHuntly2023_invivo;SantinhaPlatt2023;SrivatsanTrapnell2020_sciplex3,ContextSimBaseline;V0StrongBaseline,context_similarity_max_qnorm;context_similarity_mean_qnorm;perturbation_support_count_qnorm;perturbation_effect_stability_qnorm;perturbation_effect_variance_qnorm;historical_residual_risk_qnorm;ood_nearest_distance_qnorm;ood_mean_k_distance_qnorm;prediction_l2_norm_qnorm;prediction_abs_mean_qnorm;prediction_magnitude_deviation_qnorm;prediction_norm_ratio_qnorm,False,False
