phase,check,passed
PRETRUTH,e167_v1_fail_and_manifest_preserved,True
PRETRUTH,official_collapse_status_preserved,True
PRETRUTH,raw_score_cannot_rescue_collapsed_prediction,True
PRETRUTH,wessels_prediction_and_replicate_failure_preserved,True
PRETRUTH,noncollapsed_reference_prediction_batches_retained,True
PRETRUTH,known_cross_cutoff_ties_detected,True
PRETRUTH,synthetic_regression_suite,True
PRETRUTH,no_truth_gate_override,True
PRETRUTH,all_historical_batches_deployment_unauthorized,True
PRETRUTH,all_historical_batches_development_scope,True
PRETRUTH,no_authorized_or_deploy_status_tokens,True
POSTGATE_TRUTH,postgate_truth_all_finite_and_joined,True
POSTGATE_TRUTH,endpoint_truth_nondegeneracy_reported,True
POSTGATE_TRUTH,e87_invalid_upstream_predictor_not_authorized,True
POSTGATE_TRUTH,all_historical_batches_remain_deployment_unauthorized,True
POSTGATE_TRUTH,candidate_and_magnitude_tie_aware_outputs_both_present,True
