dataset_name,seed,aligned_rho,partial_rho_control_magnitude,aurc,excess_aurc,aurc_reduction_vs_random_pct,top5_enrichment,top10_enrichment,top20_enrichment
McFarlandTsherniak2020,123,0.5318423037938581,0.33054239630053095,1.1542938104460425,0.28728395181405075,28.617417277616674,3.675093363975869,3.3983490393746805,2.613531286264253
SantinhaPlatt2023,123,0.495642097437549,0.3910595180936552,0.28506150243521006,0.073899920482279,23.796542208679767,1.3928571428571428,1.0446428571428572,1.4439669421487602
SrivatsanTrapnell2020_sciplex3,123,0.6630812154376038,0.7092935822173035,0.04496364614521118,0.006012329149396374,25.69432497944589,6.035671819262783,4.686980609418282,3.4452188894980025
CuiHacohen2023,256,0.7270249686016184,0.5644500770798385,0.14816635696076652,0.024627074756533862,35.276410812615886,4.419753086419752,4.025132275132275,2.7247345280233644
Frangieh,256,0.8314118765600458,0.6780633929038952,0.04868504550161651,0.0014430342504670526,16.591777122681012,6.7998046875,6.336181640625,3.885361770723541
LaraAstiasoHuntly2023_exvivo,256,0.8074929437831578,0.8195612037720149,0.8504731364398651,0.2795385026230066,47.019290720931345,3.3529411764705888,0.8898071625344353,1.9876923076923079
LaraAstiasoHuntly2023_invivo,256,0.7603398293707899,0.724744937933092,3.4317567160431293,1.1194517549871534,45.87929543189548,2.0775623268698062,1.2984764542936287,2.6666666666666665
McFarlandTsherniak2020,256,0.5318423037938581,0.33054239630053095,1.1542938104460425,0.28728395181405075,28.617417277616674,3.675093363975869,3.3983490393746805,2.613531286264253
SantinhaPlatt2023,256,0.495642097437549,0.3910595180936552,0.28506150243521006,0.073899920482279,23.796542208679767,1.3928571428571428,1.0446428571428572,1.4439669421487602
SrivatsanTrapnell2020_sciplex3,256,0.6630812154376038,0.7092935822173035,0.04496364614521118,0.006012329149396374,25.69432497944589,6.035671819262783,4.686980609418282,3.4452188894980025
CuiHacohen2023,314,0.7270249686016184,0.5644500770798385,0.14816635696076652,0.024627074756533862,35.276410812615886,4.419753086419752,4.025132275132275,2.7247345280233644
Frangieh,314,0.8314118765600458,0.6780633929038952,0.04868504550161651,0.0014430342504670526,16.591777122681012,6.7998046875,6.336181640625,3.885361770723541
LaraAstiasoHuntly2023_exvivo,314,0.8074929437831578,0.8195612037720149,0.8504731364398651,0.2795385026230066,47.019290720931345,3.3529411764705888,0.8898071625344353,1.9876923076923079
LaraAstiasoHuntly2023_invivo,314,0.7603398293707899,0.724744937933092,3.4317567160431293,1.1194517549871534,45.87929543189548,2.0775623268698062,1.2984764542936287,2.6666666666666665
McFarlandTsherniak2020,314,0.5318423037938581,0.33054239630053095,1.1542938104460425,0.28728395181405075,28.617417277616674,3.675093363975869,3.3983490393746805,2.613531286264253
SantinhaPlatt2023,314,0.495642097437549,0.3910595180936552,0.28506150243521006,0.073899920482279,23.796542208679767,1.3928571428571428,1.0446428571428572,1.4439669421487602
SrivatsanTrapnell2020_sciplex3,314,0.6630812154376038,0.7092935822173035,0.04496364614521118,0.006012329149396374,25.69432497944589,6.035671819262783,4.686980609418282,3.4452188894980025
CuiHacohen2023,500,0.7270249686016184,0.5644500770798385,0.14816635696076652,0.024627074756533862,35.276410812615886,4.419753086419752,4.025132275132275,2.7247345280233644
Frangieh,500,0.8314118765600458,0.6780633929038952,0.04868504550161651,0.0014430342504670526,16.591777122681012,6.7998046875,6.336181640625,3.885361770723541
LaraAstiasoHuntly2023_exvivo,500,0.8074929437831578,0.8195612037720149,0.8504731364398651,0.2795385026230066,47.019290720931345,3.3529411764705888,0.8898071625344353,1.9876923076923079
LaraAstiasoHuntly2023_invivo,500,0.7603398293707899,0.724744937933092,3.4317567160431293,1.1194517549871534,45.87929543189548,2.0775623268698062,1.2984764542936287,2.6666666666666665
McFarlandTsherniak2020,500,0.5318423037938581,0.33054239630053095,1.1542938104460425,0.28728395181405075,28.617417277616674,3.675093363975869,3.3983490393746805,2.613531286264253
SantinhaPlatt2023,500,0.495642097437549,0.3910595180936552,0.28506150243521006,0.073899920482279,23.796542208679767,1.3928571428571428,1.0446428571428572,1.4439669421487602
SrivatsanTrapnell2020_sciplex3,500,0.6630812154376038,0.7092935822173035,0.04496364614521118,0.006012329149396374,25.69432497944589,6.035671819262783,4.686980609418282,3.4452188894980025
CuiHacohen2023,789,0.7270249686016184,0.5644500770798385,0.14816635696076652,0.024627074756533862,35.276410812615886,4.419753086419752,4.025132275132275,2.7247345280233644
Frangieh,789,0.8314118765600458,0.6780633929038952,0.04868504550161651,0.0014430342504670526,16.591777122681012,6.7998046875,6.336181640625,3.885361770723541
LaraAstiasoHuntly2023_exvivo,789,0.8074929437831578,0.8195612037720149,0.8504731364398651,0.2795385026230066,47.019290720931345,3.3529411764705888,0.8898071625344353,1.9876923076923079
LaraAstiasoHuntly2023_invivo,789,0.7603398293707899,0.724744937933092,3.4317567160431293,1.1194517549871534,45.87929543189548,2.0775623268698062,1.2984764542936287,2.6666666666666665
McFarlandTsherniak2020,789,0.5318423037938581,0.33054239630053095,1.1542938104460425,0.28728395181405075,28.617417277616674,3.675093363975869,3.3983490393746805,2.613531286264253
SantinhaPlatt2023,789,0.495642097437549,0.3910595180936552,0.28506150243521006,0.073899920482279,23.796542208679767,1.3928571428571428,1.0446428571428572,1.4439669421487602
SrivatsanTrapnell2020_sciplex3,789,0.6630812154376038,0.7092935822173035,0.04496364614521118,0.006012329149396374,25.69432497944589,6.035671819262783,4.686980609418282,3.4452188894980025
CuiHacohen2023,1024,0.7270249686016184,0.5644500770798385,0.14816635696076652,0.024627074756533862,35.276410812615886,4.419753086419752,4.025132275132275,2.7247345280233644
Frangieh,1024,0.8314118765600458,0.6780633929038952,0.04868504550161651,0.0014430342504670526,16.591777122681012,6.7998046875,6.336181640625,3.885361770723541
LaraAstiasoHuntly2023_exvivo,1024,0.8074929437831578,0.8195612037720149,0.8504731364398651,0.2795385026230066,47.019290720931345,3.3529411764705888,0.8898071625344353,1.9876923076923079
LaraAstiasoHuntly2023_invivo,1024,0.7603398293707899,0.724744937933092,3.4317567160431293,1.1194517549871534,45.87929543189548,2.0775623268698062,1.2984764542936287,2.6666666666666665
McFarlandTsherniak2020,1024,0.5318423037938581,0.33054239630053095,1.1542938104460425,0.28728395181405075,28.617417277616674,3.675093363975869,3.3983490393746805,2.613531286264253
SantinhaPlatt2023,1024,0.495642097437549,0.3910595180936552,0.28506150243521006,0.073899920482279,23.796542208679767,1.3928571428571428,1.0446428571428572,1.4439669421487602
SrivatsanTrapnell2020_sciplex3,1024,0.6630812154376038,0.7092935822173035,0.04496364614521118,0.006012329149396374,25.69432497944589,6.035671819262783,4.686980609418282,3.4452188894980025
CuiHacohen2023,2048,0.7270249686016184,0.5644500770798385,0.14816635696076652,0.024627074756533862,35.276410812615886,4.419753086419752,4.025132275132275,2.7247345280233644
Frangieh,2048,0.8314118765600458,0.6780633929038952,0.04868504550161651,0.0014430342504670526,16.591777122681012,6.7998046875,6.336181640625,3.885361770723541
LaraAstiasoHuntly2023_exvivo,2048,0.8074929437831578,0.8195612037720149,0.8504731364398651,0.2795385026230066,47.019290720931345,3.3529411764705888,0.8898071625344353,1.9876923076923079
LaraAstiasoHuntly2023_invivo,2048,0.7603398293707899,0.724744937933092,3.4317567160431293,1.1194517549871534,45.87929543189548,2.0775623268698062,1.2984764542936287,2.6666666666666665
McFarlandTsherniak2020,2048,0.5318423037938581,0.33054239630053095,1.1542938104460425,0.28728395181405075,28.617417277616674,3.675093363975869,3.3983490393746805,2.613531286264253
SantinhaPlatt2023,2048,0.495642097437549,0.3910595180936552,0.28506150243521006,0.073899920482279,23.796542208679767,1.3928571428571428,1.0446428571428572,1.4439669421487602
SrivatsanTrapnell2020_sciplex3,2048,0.6630812154376038,0.7092935822173035,0.04496364614521118,0.006012329149396374,25.69432497944589,6.035671819262783,4.686980609418282,3.4452188894980025
CuiHacohen2023,3141,0.7270249686016184,0.5644500770798385,0.14816635696076652,0.024627074756533862,35.276410812615886,4.419753086419752,4.025132275132275,2.7247345280233644
Frangieh,3141,0.8314118765600458,0.6780633929038952,0.04868504550161651,0.0014430342504670526,16.591777122681012,6.7998046875,6.336181640625,3.885361770723541
LaraAstiasoHuntly2023_exvivo,3141,0.8074929437831578,0.8195612037720149,0.8504731364398651,0.2795385026230066,47.019290720931345,3.3529411764705888,0.8898071625344353,1.9876923076923079
LaraAstiasoHuntly2023_invivo,3141,0.7603398293707899,0.724744937933092,3.4317567160431293,1.1194517549871534,45.87929543189548,2.0775623268698062,1.2984764542936287,2.6666666666666665
McFarlandTsherniak2020,3141,0.5318423037938581,0.33054239630053095,1.1542938104460425,0.28728395181405075,28.617417277616674,3.675093363975869,3.3983490393746805,2.613531286264253
SantinhaPlatt2023,3141,0.495642097437549,0.3910595180936552,0.28506150243521006,0.073899920482279,23.796542208679767,1.3928571428571428,1.0446428571428572,1.4439669421487602
SrivatsanTrapnell2020_sciplex3,3141,0.6630812154376038,0.7092935822173035,0.04496364614521118,0.006012329149396374,25.69432497944589,6.035671819262783,4.686980609418282,3.4452188894980025
CuiHacohen2023,5201,0.7270249686016184,0.5644500770798385,0.14816635696076652,0.024627074756533862,35.276410812615886,4.419753086419752,4.025132275132275,2.7247345280233644
Frangieh,5201,0.8314118765600458,0.6780633929038952,0.04868504550161651,0.0014430342504670526,16.591777122681012,6.7998046875,6.336181640625,3.885361770723541
LaraAstiasoHuntly2023_exvivo,5201,0.8074929437831578,0.8195612037720149,0.8504731364398651,0.2795385026230066,47.019290720931345,3.3529411764705888,0.8898071625344353,1.9876923076923079
LaraAstiasoHuntly2023_invivo,5201,0.7603398293707899,0.724744937933092,3.4317567160431293,1.1194517549871534,45.87929543189548,2.0775623268698062,1.2984764542936287,2.6666666666666665
McFarlandTsherniak2020,5201,0.5318423037938581,0.33054239630053095,1.1542938104460425,0.28728395181405075,28.617417277616674,3.675093363975869,3.3983490393746805,2.613531286264253
SantinhaPlatt2023,5201,0.495642097437549,0.3910595180936552,0.28506150243521006,0.073899920482279,23.796542208679767,1.3928571428571428,1.0446428571428572,1.4439669421487602
SrivatsanTrapnell2020_sciplex3,5201,0.6630812154376038,0.7092935822173035,0.04496364614521118,0.006012329149396374,25.69432497944589,6.035671819262783,4.686980609418282,3.4452188894980025
