dataset,geometry,check,target_family_id,value,threshold,pass
E190_K562,cosine,weights_finite_nonnegative_sum_one,B2_leave_one_out_GEARS_seed3408,0.0,1e-12,True
E190_K562,cosine,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_scGPT_seed3409,2.220446049250313e-16,1e-12,True
E190_K562,cosine,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_scGPT_seed3409,0.0,1e-12,True
E190_K562,cosine,governed_architecture_weight_half_each,B2_duplicate_one_governed_scGPT_seed3409,5.551115123125783e-17,1e-12,True
E190_K562,cosine,weights_finite_nonnegative_sum_one,B2_leave_one_out_scGPT_seed3409,0.0,1e-12,True
E190_K562,cosine,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_GEARS_seed3409,2.220446049250313e-16,1e-12,True
E190_K562,cosine,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_GEARS_seed3409,0.0,1e-12,True
E190_K562,cosine,governed_architecture_weight_half_each,B2_duplicate_one_governed_GEARS_seed3409,5.551115123125783e-17,1e-12,True
E190_K562,cosine,weights_finite_nonnegative_sum_one,B2_leave_one_out_GEARS_seed3409,0.0,1e-12,True
E190_K562,cosine,weights_finite_nonnegative_sum_one,B3_overweight_scgpt_flat,0.0,1e-12,True
E190_K562,cosine,weights_finite_nonnegative_sum_one,B3_overweight_scgpt_governed,0.0,1e-12,True
E190_K562,cosine,governed_architecture_weight_half_each,B3_overweight_scgpt_governed,5.551115123125783e-17,1e-12,True
E190_K562,cosine,weights_finite_nonnegative_sum_one,B3_overweight_gears_flat,0.0,1e-12,True
E190_K562,cosine,weights_finite_nonnegative_sum_one,B3_overweight_gears_governed,0.0,1e-12,True
E190_K562,cosine,governed_architecture_weight_half_each,B3_overweight_gears_governed,5.551115123125783e-17,1e-12,True
E190_K562,cosine,weights_finite_nonnegative_sum_one,C2_add_source_portfolio,2.220446049250313e-16,1e-12,True
E190_K562,cosine,no_directional_symmetric_attack,C4,0.0,0.0,True
E190_K562,pearson,scenario_count,ALL,50.0,50.0,True
E190_K562,pearson,a4_embedding_centroid_equals_a0,A4_architecture_centroids,8.326672684688674e-17,1e-10,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A0_primary_balanced_3x3,1.1102230246251565e-16,1e-12,True
E190_K562,pearson,governed_architecture_weight_half_each,A0_primary_balanced_3x3,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A1_scgpt_seed_only,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A2_gears_seed_only,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A3_matched_pair_seed3407,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A3_matched_pair_seed3408,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A3_matched_pair_seed3409,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A4_architecture_centroids,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3407__GEARS_seed3407,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3407__GEARS_seed3408,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3407__GEARS_seed3409,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3408__GEARS_seed3407,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3408__GEARS_seed3408,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3408__GEARS_seed3409,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3409__GEARS_seed3407,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3409__GEARS_seed3408,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3409__GEARS_seed3409,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3408__GEARS_seed3407__GEARS_seed3408,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3408__GEARS_seed3407__GEARS_seed3409,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3408__GEARS_seed3408__GEARS_seed3409,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3409__GEARS_seed3407__GEARS_seed3408,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3409__GEARS_seed3407__GEARS_seed3409,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3409__GEARS_seed3408__GEARS_seed3409,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3408__scGPT_seed3409__GEARS_seed3407__GEARS_seed3408,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3408__scGPT_seed3409__GEARS_seed3407__GEARS_seed3409,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3408__scGPT_seed3409__GEARS_seed3408__GEARS_seed3409,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B1_duplicate_all_flat,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B1_duplicate_all_governed,0.0,1e-12,True
E190_K562,pearson,governed_architecture_weight_half_each,B1_duplicate_all_governed,5.551115123125783e-17,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_scGPT_seed3407,2.220446049250313e-16,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_scGPT_seed3407,1.1102230246251565e-16,1e-12,True
E190_K562,pearson,governed_architecture_weight_half_each,B2_duplicate_one_governed_scGPT_seed3407,5.551115123125783e-17,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_leave_one_out_scGPT_seed3407,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_GEARS_seed3407,2.220446049250313e-16,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_GEARS_seed3407,1.1102230246251565e-16,1e-12,True
E190_K562,pearson,governed_architecture_weight_half_each,B2_duplicate_one_governed_GEARS_seed3407,5.551115123125783e-17,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_leave_one_out_GEARS_seed3407,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_scGPT_seed3408,2.220446049250313e-16,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_scGPT_seed3408,1.1102230246251565e-16,1e-12,True
E190_K562,pearson,governed_architecture_weight_half_each,B2_duplicate_one_governed_scGPT_seed3408,5.551115123125783e-17,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_leave_one_out_scGPT_seed3408,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_GEARS_seed3408,2.220446049250313e-16,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_GEARS_seed3408,0.0,1e-12,True
E190_K562,pearson,governed_architecture_weight_half_each,B2_duplicate_one_governed_GEARS_seed3408,5.551115123125783e-17,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_leave_one_out_GEARS_seed3408,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_scGPT_seed3409,2.220446049250313e-16,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_scGPT_seed3409,0.0,1e-12,True
E190_K562,pearson,governed_architecture_weight_half_each,B2_duplicate_one_governed_scGPT_seed3409,5.551115123125783e-17,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_leave_one_out_scGPT_seed3409,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_GEARS_seed3409,2.220446049250313e-16,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_GEARS_seed3409,0.0,1e-12,True
E190_K562,pearson,governed_architecture_weight_half_each,B2_duplicate_one_governed_GEARS_seed3409,5.551115123125783e-17,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B2_leave_one_out_GEARS_seed3409,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B3_overweight_scgpt_flat,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B3_overweight_scgpt_governed,0.0,1e-12,True
E190_K562,pearson,governed_architecture_weight_half_each,B3_overweight_scgpt_governed,5.551115123125783e-17,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B3_overweight_gears_flat,0.0,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,B3_overweight_gears_governed,0.0,1e-12,True
E190_K562,pearson,governed_architecture_weight_half_each,B3_overweight_gears_governed,5.551115123125783e-17,1e-12,True
E190_K562,pearson,weights_finite_nonnegative_sum_one,C2_add_source_portfolio,2.220446049250313e-16,1e-12,True
E190_K562,pearson,no_directional_symmetric_attack,C4,0.0,0.0,True
E192_RPE1,absolute_rmse,scenario_count,ALL,55.0,55.0,True
E192_RPE1,absolute_rmse,a4_embedding_centroid_equals_a0,A4_architecture_centroids,6.938893903907228e-18,1e-10,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A0_primary_balanced_3x3,1.1102230246251565e-16,1e-12,True
E192_RPE1,absolute_rmse,governed_architecture_weight_half_each,A0_primary_balanced_3x3,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A1_scgpt_seed_only,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A2_gears_seed_only,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A3_matched_pair_seed3407,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A3_matched_pair_seed3408,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A3_matched_pair_seed3409,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A4_architecture_centroids,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3407__GEARS_seed3407,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3407__GEARS_seed3408,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3407__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3408__GEARS_seed3407,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3408__GEARS_seed3408,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3408__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3409__GEARS_seed3407,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3409__GEARS_seed3408,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3409__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3408__GEARS_seed3407__GEARS_seed3408,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3408__GEARS_seed3407__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3408__GEARS_seed3408__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3409__GEARS_seed3407__GEARS_seed3408,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3409__GEARS_seed3407__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3409__GEARS_seed3408__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3408__scGPT_seed3409__GEARS_seed3407__GEARS_seed3408,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3408__scGPT_seed3409__GEARS_seed3407__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3408__scGPT_seed3409__GEARS_seed3408__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B1_duplicate_all_flat,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B1_duplicate_all_governed,0.0,1e-12,True
E192_RPE1,absolute_rmse,governed_architecture_weight_half_each,B1_duplicate_all_governed,5.551115123125783e-17,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_scGPT_seed3407,2.220446049250313e-16,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_scGPT_seed3407,1.1102230246251565e-16,1e-12,True
E192_RPE1,absolute_rmse,governed_architecture_weight_half_each,B2_duplicate_one_governed_scGPT_seed3407,5.551115123125783e-17,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_leave_one_out_scGPT_seed3407,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_GEARS_seed3407,2.220446049250313e-16,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_GEARS_seed3407,1.1102230246251565e-16,1e-12,True
E192_RPE1,absolute_rmse,governed_architecture_weight_half_each,B2_duplicate_one_governed_GEARS_seed3407,5.551115123125783e-17,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_leave_one_out_GEARS_seed3407,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_scGPT_seed3408,2.220446049250313e-16,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_scGPT_seed3408,1.1102230246251565e-16,1e-12,True
E192_RPE1,absolute_rmse,governed_architecture_weight_half_each,B2_duplicate_one_governed_scGPT_seed3408,5.551115123125783e-17,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_leave_one_out_scGPT_seed3408,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_GEARS_seed3408,2.220446049250313e-16,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_GEARS_seed3408,0.0,1e-12,True
E192_RPE1,absolute_rmse,governed_architecture_weight_half_each,B2_duplicate_one_governed_GEARS_seed3408,5.551115123125783e-17,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_leave_one_out_GEARS_seed3408,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_scGPT_seed3409,2.220446049250313e-16,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_scGPT_seed3409,0.0,1e-12,True
E192_RPE1,absolute_rmse,governed_architecture_weight_half_each,B2_duplicate_one_governed_scGPT_seed3409,5.551115123125783e-17,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_leave_one_out_scGPT_seed3409,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_GEARS_seed3409,2.220446049250313e-16,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_GEARS_seed3409,0.0,1e-12,True
E192_RPE1,absolute_rmse,governed_architecture_weight_half_each,B2_duplicate_one_governed_GEARS_seed3409,5.551115123125783e-17,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B2_leave_one_out_GEARS_seed3409,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B3_overweight_scgpt_flat,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B3_overweight_scgpt_governed,0.0,1e-12,True
E192_RPE1,absolute_rmse,governed_architecture_weight_half_each,B3_overweight_scgpt_governed,5.551115123125783e-17,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B3_overweight_gears_flat,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,B3_overweight_gears_governed,0.0,1e-12,True
E192_RPE1,absolute_rmse,governed_architecture_weight_half_each,B3_overweight_gears_governed,5.551115123125783e-17,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,C1_add_zero_portfolio,2.220446049250313e-16,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,C2_add_source_portfolio,2.220446049250313e-16,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,C3_add_zero_source_portfolio,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,C4_symmetric_attack_lambda1,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,C4_symmetric_attack_lambda2,0.0,1e-12,True
E192_RPE1,absolute_rmse,weights_finite_nonnegative_sum_one,C4_symmetric_attack_lambda4,0.0,1e-12,True
E192_RPE1,absolute_rmse,symmetric_attack_embedding_centroid_unchanged,C4_symmetric_attack_lambda1,6.938893903907228e-18,1e-10,True
E192_RPE1,absolute_rmse,symmetric_attack_diversity_formula,C4_symmetric_attack_lambda1,1.734723475976807e-18,1e-10,True
E192_RPE1,absolute_rmse,symmetric_attack_embedding_centroid_unchanged,C4_symmetric_attack_lambda2,6.938893903907228e-18,1e-10,True
E192_RPE1,absolute_rmse,symmetric_attack_diversity_formula,C4_symmetric_attack_lambda2,3.469446951953614e-18,1e-10,True
E192_RPE1,absolute_rmse,symmetric_attack_embedding_centroid_unchanged,C4_symmetric_attack_lambda4,6.938893903907228e-18,1e-10,True
E192_RPE1,absolute_rmse,symmetric_attack_diversity_formula,C4_symmetric_attack_lambda4,1.3877787807814457e-17,1e-10,True
E192_RPE1,cosine,scenario_count,ALL,50.0,50.0,True
E192_RPE1,cosine,a4_embedding_centroid_equals_a0,A4_architecture_centroids,2.7755575615628914e-17,1e-10,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A0_primary_balanced_3x3,1.1102230246251565e-16,1e-12,True
E192_RPE1,cosine,governed_architecture_weight_half_each,A0_primary_balanced_3x3,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A1_scgpt_seed_only,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A2_gears_seed_only,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A3_matched_pair_seed3407,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A3_matched_pair_seed3408,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A3_matched_pair_seed3409,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A4_architecture_centroids,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3407__GEARS_seed3407,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3407__GEARS_seed3408,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3407__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3408__GEARS_seed3407,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3408__GEARS_seed3408,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3408__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3409__GEARS_seed3407,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3409__GEARS_seed3408,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_pair_1x1_scGPT_seed3409__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3408__GEARS_seed3407__GEARS_seed3408,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3408__GEARS_seed3407__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3408__GEARS_seed3408__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3409__GEARS_seed3407__GEARS_seed3408,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3409__GEARS_seed3407__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3407__scGPT_seed3409__GEARS_seed3408__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3408__scGPT_seed3409__GEARS_seed3407__GEARS_seed3408,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3408__scGPT_seed3409__GEARS_seed3407__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,A5_balanced_2x2_scGPT_seed3408__scGPT_seed3409__GEARS_seed3408__GEARS_seed3409,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B1_duplicate_all_flat,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B1_duplicate_all_governed,0.0,1e-12,True
E192_RPE1,cosine,governed_architecture_weight_half_each,B1_duplicate_all_governed,5.551115123125783e-17,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_scGPT_seed3407,2.220446049250313e-16,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_scGPT_seed3407,1.1102230246251565e-16,1e-12,True
E192_RPE1,cosine,governed_architecture_weight_half_each,B2_duplicate_one_governed_scGPT_seed3407,5.551115123125783e-17,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_leave_one_out_scGPT_seed3407,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_GEARS_seed3407,2.220446049250313e-16,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_GEARS_seed3407,1.1102230246251565e-16,1e-12,True
E192_RPE1,cosine,governed_architecture_weight_half_each,B2_duplicate_one_governed_GEARS_seed3407,5.551115123125783e-17,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_leave_one_out_GEARS_seed3407,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_scGPT_seed3408,2.220446049250313e-16,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_scGPT_seed3408,1.1102230246251565e-16,1e-12,True
E192_RPE1,cosine,governed_architecture_weight_half_each,B2_duplicate_one_governed_scGPT_seed3408,5.551115123125783e-17,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_leave_one_out_scGPT_seed3408,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_GEARS_seed3408,2.220446049250313e-16,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_GEARS_seed3408,0.0,1e-12,True
E192_RPE1,cosine,governed_architecture_weight_half_each,B2_duplicate_one_governed_GEARS_seed3408,5.551115123125783e-17,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_leave_one_out_GEARS_seed3408,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_scGPT_seed3409,2.220446049250313e-16,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_scGPT_seed3409,0.0,1e-12,True
E192_RPE1,cosine,governed_architecture_weight_half_each,B2_duplicate_one_governed_scGPT_seed3409,5.551115123125783e-17,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_leave_one_out_scGPT_seed3409,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_duplicate_one_flat_GEARS_seed3409,2.220446049250313e-16,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_duplicate_one_governed_GEARS_seed3409,0.0,1e-12,True
E192_RPE1,cosine,governed_architecture_weight_half_each,B2_duplicate_one_governed_GEARS_seed3409,5.551115123125783e-17,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B2_leave_one_out_GEARS_seed3409,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B3_overweight_scgpt_flat,0.0,1e-12,True
E192_RPE1,cosine,weights_finite_nonnegative_sum_one,B3_overweight_scgpt_governed,0.0,1e-12,True
E192_RPE1,cosine,governed_architecture_weight_half_each,B3_overweight_scgpt_governed,5.551115123125783e-17,1e-12,True
